stuff,prefix,keywords,is_done,suffix
The Forgotten Battle,Learn more about war movies :,,no,film
1917,Learn more about war movies :,,no,film
Apocalypse Now,Learn more about war movies :,,no,film
The Expendables 4,Learn more about war movies :,,no,film
Saving Private Ryan,Learn more about war movies :,,no,film
Dunkirk,Learn more about war movies :,,no,film
Jojo Rabbit,Learn more about war movies :,,no,film
Inglourious Basterds,Learn more about war movies :,,no,film
The Courier,Learn more about war movies :,,no,film
Stripes,Learn more about war movies :,,no,film
Midway,Learn more about war movies :,,no,film
Hacksaw Ridge,Learn more about war movies :,,no,film
Wonder Woman,Learn more about war movies :,,no,film
Hell Hath No Fury,Learn more about war movies :,,no,film
Atonement,Learn more about war movies :,,no,film
Full Metal Jacket,Learn more about war movies :,,no,film
The Tragedy of Macbeth,Learn more about war movies :,,no,film
Incendies,Learn more about war movies :,,no,film
The Pianist,Learn more about war movies :,,no,film
Braveheart,Learn more about war movies :,,no,film
Greyhound,Learn more about war movies :,,no,film
Fury,Learn more about war movies :,,no,film
Malena,Learn more about war movies :,,no,film
Black Hawk Down,Learn more about war movies :,,no,film
The Imitation Game,Learn more about war movies :,,no,film
Life Is Beautiful,Learn more about war movies :,,no,film
Kingdom of Heaven,Learn more about war movies :,,no,film
Pan's Labyrinth,Learn more about war movies :,,no,film
The Last of the Mohicans,Learn more about war movies :,,no,film
American Sniper,Learn more about war movies :,,no,film
Come and See,Learn more about war movies :,,no,film
Shershaah,Learn more about war movies :,,no,film
King Arthur,Learn more about war movies :,,no,film
Official Secrets,Learn more about war movies :,,no,film
The Best Years of Our Lives,Learn more about war movies :,,no,film
Legends of the Fall,Learn more about war movies :,,no,film
The Dirty Dozen,Learn more about war movies :,,no,film
Casablanca,Learn more about war movies :,,no,film
The Deer Hunter,Learn more about war movies :,,no,film
The Patriot,Learn more about war movies :,,no,film
Empire of the Sun,Learn more about war movies :,,no,film
Platoon,Learn more about war movies :,,no,film
Paths of Glory,Learn more about war movies :,,no,film
Tropic Thunder,Learn more about war movies :,,no,film
Zero Dark Thirty,Learn more about war movies :,,no,film
The Thin Red Line,Learn more about war movies :,,no,film
The Great Escape,Learn more about war movies :,,no,film
Lone Survivor,Learn more about war movies :,,no,film
Outlaw King,Learn more about war movies :,,no,film
